Gear_No,Oil Temperature (C),Wr Sleeve Pr CW (bar),Blk Passage Pr (bar),Gear Ratio,Flow Validation (lpm),NPD (bar),Efficiency CW (bar),Efficiency CCW (bar),Leakage CW (lpm),Leakage CCW (lpm),Leak Pr CW (bar),Leak Pr CCW (bar),Torque Bal 1 (Nm),Torque Bal 2 (Nm),Hysterisis CW(%),Hysterisis CCW(%),Direction,TT-CW,TT-CCW,TT-Diff,PCW,PCCW,CW_10.00,CW_31.00,CW_69.00,CW_90.00,CCW_10.00,CCW_31.00,CCW_69.00,CCW_90.00
V18FL42920,57.670306,12.589941,12.404590,34.333364,13.196791,3.215674,153.887228,151.707930,1.222396,0.380995,114.837850,115.037780,0.357674,0.357674,18.380448,44.339855,OK,1.041016,1.628906,0.587891,35.478320,31.926172,4.22,5.83,8.19,9.45,-3.84,-5.47,-7.53,-8.22
V18FL42921,53.325590,12.206543,12.139258,42.747043,13.128413,3.602295,150.844315,151.435338,0.233169,0.277507,114.331645,114.082321,0.071442,0.071442,21.692073,31.520453,OK,1.147461,1.527344,0.379883,37.386426,33.106836,3.72,6.59,7.98,8.63,-4.49,-6.52,-7.67,-8.53
V18FL42922,53.581561,13.318652,13.027930,34.849517,13.406263,3.751123,152.462860,147.340876,1.306930,0.689022,112.726999,112.462373,1.664397,1.664397,41.470297,56.120705,OK,1.294922,1.551758,0.256836,34.975586,32.496191,4.41,5.61,6.85,7.28,-5.71,-7.28,-8.07,-8.73
V18FL42924,56.161625,11.264551,12.165918,39.093448,12.065637,2.785254,154.069701,148.734883,0.476797,1.158963,113.321056,112.233273,0.693677,0.693677,24.298886,24.244499,OK,1.085937,1.535156,0.449219,33.344238,31.860156,4.71,7.48,8.71,8.93,-4.42,-6.78,-8.05,-8.62
V18FL42925,54.141002,12.046582,13.173926,42.569101,13.128413,3.640137,150.573828,151.796784,0.552727,0.362967,113.535409,113.743018,0.792887,0.792887,26.354490,39.152741,OK,1.166016,1.871094,0.705078,35.889648,33.463574,4.70,5.75,6.73,7.38,-4.43,-6.55,-7.75,-8.54
V18FL42926,53.368943,13.398633,13.013965,35.562363,12.543484,3.473877,153.586019,149.477981,1.344515,0.428053,113.758128,114.101746,0.141306,0.141306,22.382963,35.298326,OK,1.049805,2.324219,1.274414,35.226953,31.330762,5.09,6.39,7.33,7.45,-4.10,-6.25,-7.32,-7.99
V18FL42927,53.073389,12.589941,12.324609,37.450096,12.668919,3.322021,151.557079,149.746188,1.346874,0.565284,114.010125,114.061562,0.556568,0.556568,23.284718,34.337233,OK,1.088867,1.335937,0.247070,36.008984,32.125488,5.02,5.88,6.73,7.26,-5.00,-6.44,-7.72,-8.41
V18FL42930,55.349983,11.569238,11.105859,33.701161,12.240501,2.845459,153.551453,146.906630,1.055811,0.728220,113.417920,113.055581,0.344711,0.344711,23.614555,22.036331,OK,1.649414,1.757812,0.108398,32.800879,30.985449,4.45,5.93,6.53,6.93,-4.61,-6.27,-7.11,-7.93
V18FL42931,55.999899,12.418555,12.643262,38.970390,12.008454,3.272021,153.020959,147.967928,1.294373,0.889775,114.333131,113.693932,0.210882,0.210882,26.942209,45.467742,OK,1.340820,1.646484,0.305664,33.238867,30.999414,5.21,6.09,7.26,7.78,-4.60,-5.88,-7.18,-8.23
V18FL42932,54.908914,11.795215,12.099902,36.263553,13.128413,2.955127,148.065217,150.930281,1.288886,0.522594,113.413734,114.863324,0.127046,0.127046,33.011062,33.680861,OK,1.167969,1.519531,0.351562,34.498242,31.940137,4.16,6.26,7.26,7.58,-4.23,-6.13,-7.36,-7.76
