Gear_No,Oil Temperature (C),Wr Sleeve Pr CW (bar),Blk Passage Pr (bar),Gear Ratio,Flow Validation (lpm),NPD (bar),Efficiency CW (bar),Efficiency CCW (bar),Leakage CW (lpm),Leakage CCW (lpm),Leak Pr CW (bar),Leak Pr CCW (bar),Torque Bal 1 (Nm),Torque Bal 2 (Nm),Hysterisis CW(%),Hysterisis CCW(%),Direction,TT-CW,TT-CCW,TT-Diff,PCW,PCCW,CW_10.00,CW_31.00,CW_69.00,CW_90.00,CCW_10.00,CCW_31.00,CCW_69.00,CCW_90.00
V18FL42838,53.262634,11.834570,12.709277,42.325207,12.861847,2.601660,148.531681,151.805081,0.463285,0.252226,114.485398,114.581333,0.414449,0.414449,47.137810,25.302163,OK,1.068359,1.677734,0.609375,35.783008,31.794141,5.13,6.90,7.84,8.27,-3.07,-6.49,-8.10,-8.55
V18FL42839,53.616997,12.019922,12.365234,39.893633,12.481694,2.868994,153.248100,146.753465,1.312234,0.579529,112.356644,113.266565,0.379436,0.379436,49.502745,30.438346,OK,1.030273,1.390625,0.360352,36.128320,31.118750,5.51,7.32,8.41,9.14,-5.17,-6.94,-8.18,-9.07
V18FL42840,55.570517,12.391895,12.153223,35.972571,12.481694,3.479639,151.069257,148.059392,1.481337,0.710575,112.470143,113.156514,1.512515,1.512515,33.399517,16.108722,OK,1.289062,1.941406,0.652344,34.457617,32.880859,4.25,7.60,8.82,9.41,-3.72,-6.09,-7.34,-7.81
V18FL42841,57.646556,12.019922,11.688574,41.253979,12.861847,3.141943,148.814268,151.214578,0.613881,0.716825,113.782379,113.080887,0.647033,0.647033,16.649259,24.835305,OK,0.999023,1.137695,0.138672,35.399609,32.841504,3.87,6.33,7.47,7.90,-5.05,-6.98,-8.15,-8.69
V18FL42842,58.785041,12.351270,11.424512,33.398661,12.481694,3.158447,153.152301,151.121990,1.796472,0.635183,112.503348,113.676898,0.409267,0.409267,23.044909,4.865306,OK,1.141602,1.211914,0.070312,35.823633,33.901563,5.35,7.55,8.46,9.26,-5.57,-7.14,-8.25,-8.99
V18FL42843,57.043762,12.073242,12.206543,37.657468,12.359921,2.947217,153.283302,146.320110,1.195116,0.369204,112.243582,114.176776,0.268766,0.268766,17.804214,21.291553,OK,0.888672,1.129883,0.241211,33.623535,32.430176,5.60,6.61,7.31,7.65,-3.56,-6.88,-7.95,-8.65
V18FL42844,54.983933,12.139258,12.523926,38.147987,12.420509,3.104639,151.851225,149.775391,1.295389,0.235043,113.801174,114.517878,0.651917,0.651917,29.388906,47.485006,OK,0.978516,1.594727,0.616211,36.220996,32.337500,5.47,6.99,8.08,8.78,-4.55,-6.33,-7.41,-8.06
V18FL42845,54.235247,11.848535,12.431250,37.312621,12.861847,3.292529,150.634728,146.211856,0.818396,1.180495,114.074728,114.104781,0.700214,0.700214,28.190383,55.678963,OK,1.139648,1.090820,0.048828,34.829590,31.316797,5.59,6.85,7.21,7.54,-6.17,-7.55,-8.59,-8.92
V18FL42848,56.429282,12.245898,12.842578,36.761744,12.123367,2.789258,151.758309,146.364013,1.132626,0.303805,113.113963,114.040954,1.699004,1.699004,41.457432,62.597661,OK,0.945312,1.522461,0.577148,34.166895,32.191504,5.67,7.29,8.00,8.41,-4.42,-5.59,-6.45,-6.93
V18FL42849,53.739139,11.688574,11.529883,31.507179,12.861847,2.263916,149.037053,146.596148,1.028732,0.769369,113.932382,113.931859,0.918600,0.918600,40.017709,54.431233,OK,0.939453,1.193359,0.253906,34.378906,30.376074,4.56,6.35,7.28,7.91,-5.95,-7.27,-8.17,-8.54
V18FL42850,54.136855,12.789258,12.179883,31.990560,12.420509,3.148047,150.933244,148.699703,1.426687,0.725209,114.449840,114.832156,0.477549,0.477549,43.528807,52.851804,OK,1.170898,1.151367,0.019531,34.603613,31.131445,4.15,6.06,6.78,7.19,-5.07,-6.54,-8.12,-8.83
V18FL42851,53.510688,11.410547,11.781250,33.718993,12.543484,2.687500,147.109230,152.946163,1.165957,0.752024,114.216265,114.926602,1.003054,1.003054,45.008985,55.720965,OK,0.998047,1.268555,0.270508,33.106836,30.190723,4.98,7.02,8.39,8.96,-5.07,-6.02,-7.38,-7.88
V18FL42852,53.471105,12.443945,10.959863,36.969216,12.065637,2.848975,152.307814,145.780647,1.626276,0.982635,112.930178,114.116279,0.266954,0.266954,40.970752,19.248205,OK,0.951172,1.042969,0.091797,32.563477,29.925391,4.42,6.56,7.19,7.69,-6.05,-6.83,-7.60,-7.96
V18FL42869,54.511198,13.252637,12.299219,37.182071,12.927468,4.073096,150.827436,150.864995,1.201454,0.434689,115.427875,115.602665,0.503409,0.503409,32.587973,13.424333,OK,1.138672,1.014648,0.124023,33.596875,32.284180,3.09,7.11,8.17,8.76,-5.07,-6.61,-8.22,-9.42
V18FL42870,55.417086,12.060547,11.424512,40.429863,12.927468,2.845410,151.252578,148.755130,0.438469,0.581628,114.724213,114.957345,0.023718,0.023718,16.372898,11.931803,OK,1.078125,0.962891,0.115234,33.132227,31.026074,3.00,6.93,7.26,7.33,-4.60,-6.90,-8.35,-9.27
V18FL42871,56.630213,12.219238,12.828613,37.553215,13.845813,3.310254,151.108188,146.965356,1.242094,0.612920,114.459486,114.794374,0.000896,0.000896,18.346208,16.505112,OK,0.900391,1.170898,0.270508,34.842285,31.569434,4.00,6.36,7.89,8.37,-3.54,-6.36,-7.90,-8.98
V18FL42876,53.491085,11.529883,11.967871,42.884447,12.543484,2.780176,149.864280,150.179677,0.705007,0.702165,114.037616,114.949458,0.854602,0.854602,22.961433,31.067832,OK,1.038086,1.086914,0.048828,34.245605,32.417480,5.23,7.38,8.21,8.66,-5.93,-6.53,-7.73,-8.33
V18FL42877,52.876605,12.192578,11.569238,34.404181,12.065637,3.357324,151.817199,148.253344,0.887504,0.400275,114.663167,114.936951,0.079620,0.079620,27.473794,26.626677,OK,1.964844,1.291016,0.673828,34.961621,32.152148,3.99,7.04,8.17,8.48,-4.85,-7.12,-8.53,-9.20
V18FL42878,55.417086,11.569238,11.755859,38.377150,12.065637,2.359912,151.642750,149.014324,1.215026,0.486732,113.825353,114.531464,1.324493,1.324493,26.013013,25.266841,OK,1.114258,1.280273,0.166016,34.378906,30.018066,6.12,7.61,7.93,8.25,-4.45,-6.29,-7.46,-8.09
V18FL42879,57.173821,12.258594,12.033887,35.159994,12.543484,3.180811,151.662562,148.524491,0.881088,0.371942,113.269311,114.194942,0.927063,0.927063,27.557561,29.037881,OK,1.129883,1.102539,0.027344,35.346289,30.826758,4.28,7.15,8.21,8.74,-4.62,-6.22,-8.35,-8.95
V18FL42880,58.454051,12.815918,12.351270,37.394670,13.265884,3.619287,152.073987,152.040482,1.181422,0.562619,113.992301,114.504489,0.165880,0.165880,24.370667,34.137748,OK,1.129883,1.182617,0.052734,37.015723,31.621484,5.18,7.34,8.39,9.21,-5.10,-7.50,-8.46,-8.98
V18FL42881,55.602184,12.987305,12.550586,34.448824,12.993763,3.833789,150.820012,149.198127,1.415747,0.490768,113.801199,115.273765,0.751508,0.751508,22.679912,21.737414,OK,1.181641,1.395508,0.213867,35.968359,34.060254,4.69,7.32,7.90,8.06,-4.35,-6.57,-7.97,-8.62
V18FL42882,55.381649,12.443945,13.040625,37.587437,13.265884,3.776172,150.678256,148.205714,0.776764,0.745485,115.016637,115.005362,1.140344,1.140344,48.114191,16.740550,OK,1.006836,1.029297,0.022461,30.720117,25.220508,4.44,7.01,7.62,8.13,-3.94,-5.87,-8.10,-8.55
V18FL42883,54.924747,13.703320,13.279297,37.499096,12.668919,3.709131,150.596743,150.212649,1.346453,0.400121,113.651246,115.844460,0.251283,0.251283,52.444983,43.093634,OK,1.037109,1.002930,0.034180,29.037988,26.943262,6.09,6.38,7.43,8.24,-5.14,-6.63,-8.45,-9.26
V18FL42884,56.811541,11.052539,11.463867,36.075103,12.359921,2.644629,151.156970,150.668829,1.223389,1.359005,113.749405,112.725771,1.415471,1.415471,33.303450,20.078867,OK,1.090820,1.145508,0.054687,33.278223,31.343457,5.19,7.61,8.23,8.72,-3.86,-6.19,-7.87,-8.64
V18FL42885,57.162135,14.512012,14.273340,31.266437,12.065637,4.557715,150.229029,146.583559,1.290507,0.627343,113.180535,114.718967,0.289434,0.289434,25.165959,33.073257,OK,1.088867,1.617187,0.528320,39.149805,35.041602,4.66,7.01,7.90,8.50,-4.64,-7.30,-8.53,-9.18
V18FL42886,53.810012,13.054590,12.338574,40.207977,13.335704,3.736670,151.016598,147.632065,0.460230,0.556646,114.108264,113.990676,1.107025,1.107025,46.642286,50.144329,OK,1.467773,1.321289,0.146484,36.445703,34.656934,4.71,6.46,7.63,8.41,-6.12,-7.57,-8.58,-9.37
V18FL42887,55.362046,14.287305,12.974609,36.336023,12.605889,3.643701,150.739167,147.136103,1.105917,0.674412,115.069135,114.476656,0.283141,0.283141,41.445372,28.153628,OK,1.361328,1.228516,0.132812,36.008984,32.563477,3.69,6.19,7.05,7.73,-4.17,-5.91,-7.03,-7.81
V18FL42888,57.102948,12.709277,11.861230,42.695321,12.732582,3.387012,149.117974,148.075584,1.313612,0.694134,113.855295,114.307603,0.626877,0.626877,36.241630,37.506530,OK,1.199219,1.096680,0.102539,34.179590,33.265527,4.16,6.33,7.05,7.60,-5.57,-6.96,-7.44,-8.06
V18FL42889,53.924237,13.293262,12.351270,43.685983,12.605889,3.726709,151.486067,152.841330,1.821265,0.413145,113.700767,115.463786,0.156287,0.156287,27.223119,42.178795,OK,1.339844,1.416992,0.077148,35.068262,32.536816,4.42,6.50,7.30,7.73,-4.85,-6.35,-7.63,-8.21
V18FL42890,53.416066,12.511230,12.630566,40.901762,12.605889,3.141455,152.705763,147.780440,1.177443,0.288268,114.668428,114.674362,0.393672,0.393672,29.824513,46.181869,OK,1.284180,1.160156,0.124023,35.399609,31.555469,4.35,6.21,6.78,7.46,-4.40,-6.60,-7.79,-8.39
V18FL42891,53.128429,12.974609,12.523926,42.293758,12.543484,2.921826,150.341051,146.076156,1.244176,0.688807,114.348688,114.251208,0.527778,0.527778,32.041032,47.028352,OK,1.506836,1.632812,0.125977,36.260352,32.827539,4.37,6.27,7.46,8.35,-5.22,-6.80,-7.50,-7.91
V18FL42893,57.504811,12.855273,12.299219,33.101728,12.861847,3.052344,149.303980,148.211264,1.046897,0.219982,114.279336,114.163027,0.804967,0.804967,43.583756,47.689708,OK,1.457031,1.361328,0.095703,35.451660,31.820801,4.99,6.28,6.96,7.45,-5.93,-7.08,-8.14,-8.93
V18FL42894,52.407639,13.199316,13.929297,39.722522,13.406263,3.707666,152.639412,148.774161,0.572315,0.457795,114.488330,114.117733,0.437979,0.437979,38.027129,45.694657,OK,1.457031,1.324219,0.132812,34.576953,32.907520,4.72,6.59,7.59,8.26,-4.38,-7.03,-7.66,-8.41
V18FL42895,53.286007,12.523926,13.505273,41.634704,12.993763,3.638379,150.799516,150.952660,1.252682,0.913224,113.864415,114.076581,0.736271,0.736271,40.160993,47.188822,OK,1.545898,1.397461,0.148437,34.524902,33.053516,5.04,6.89,7.93,8.38,-4.69,-6.15,-7.81,-8.70
